Field Name,Short Name,grib paramID,Unit,Level,Minimum value,Maximum value,Existing L1 error,Distribution,Absolute L1 error,Absolute L2 error,Absolute Linfty error,Relative L1 error,Relative L2 error,Relative Linfty error,decimal error,Important for budget,Additional Requirements,Comments
Potential vorticity,pv,60,K m**2 kg**-1 s**-1,Pressure+Model,"-0,00028479728","0,00017763405","0,000000007056142337",Other,,,"1,00E-07",,,"0,1",,Energy,,"0,1 PVU = 1e-7"
Specific rain water content,crwc,75,kg kg**-1,Pressure+Model,0,"0,001519829","0,00000002319075065",Other,,,,,,"0,01",,Water,,
Specific snow water content,cswc,76,kg kg**-1,Pressure+Model,0,"0,0042871237","0,00000006541631592",,,,,,,"0,01",,Water,,
Geopotential,z,129,m**2 s**-2,Pressure+Model,"-5969,504","208893,06","3,278542519",Normal,5,,10,,,,,,,
Temperature,t,130,K,Pressure+Model,"179,20174","325,61295","0,002234057756",Normal,,,"0,05",,,"0,01",,,,Peter B. recommends 0.01K for T fields for long integrations to make budgets
U component of wind,u,131,m s**-1,Pressure+Model,"-62,229965","91,23659","0,002341713756",Normal,,,"0,5",,,,,,"calm is defined below 0,5 m/s","Peter B. and Jean suggest to go lower, e.g. 0,01m/s or even 0.001m/s for wind fields"
V component of wind,v,132,m s**-1,Pressure+Model,"-67,543396","69,395035","0,00208951463",Normal,,,"0,5",,,,,,,"Peter B. and Jean suggest to go lower, e.g. 0,01m/s or even 0.001m/s for wind fields"
Specific humidity,q,133,kg kg**-1,Pressure+Model,"-0,000022094682","0,030683426","0,0000004685290662",Log-Normal,,,,,,"0,01",,Water,,
Vertical velocity,w,135,Pa s**-1,Pressure+Model,"-7,017746","8,326787","0,0002341389918",Normal,,,"0,01",,,"0,05",,,,
Vorticity (relative),vo,138,s**-1,Pressure+Model,"-0,00080912816","0,0012993631","0,00000003217302336",,,,,,,"0,05",,,,
Divergence,d,155,s**-1,Pressure+Model,"-0,00042861514","0,00043540553","0,00000001318390908",,,,,,,"0,05",,,,
Relative humidity,r,157,%,Pressure+Model,"-5,4819574","160,14786","0,002527310513",Log-Normal,,,,,,"0,01",,Energy,,
Ozone mass mixing ratio,o3,203,kg kg**-1,Pressure+Model,"-0,0000000030346343","0,000008376514","0,0000000001278617767",Normal,,,,,,"0,01",,,,Johannes Flemming
Specific cloud liquid water content,clwc,246,kg kg**-1,Pressure+Model,0,"0,0029973984","0,000000731786713",,,,,,,"0,01",,Water,,
Specific cloud ice water content,ciwc,247,kg kg**-1,Pressure+Model,0,"0,0005021095","0,0000001225853339",,,,,,,"0,01",,Water,,
Fraction of cloud cover,cc,248,dimensionless,Pressure+Model,0,1,"0,00390625",Normal,,,,,,"0,01",,,,Richard Forbes
Surface runoff,sro,8,m,Single/Surface,0,"0,040673256","0,0000006206246326",Other,"0,00001",,,"0,01",,,,Water,,"The maximum error should be the smaller of either indicated absolute/relative errors
Once this is implemented, please communicate with Jasper Denissen/Michel Wortmann on the issues they solved for runoff"
Sub-surface runoff,ssro,9,m,Single/Surface,0,"0,0268569","0,0000004098037607",Other,"0,00001",,,"0,01",,,,Water,,The maximum error should be the smaller of either indicated absolute/relative errors
UV visible albedo for direct radiation (climatological),aluvp,15,dimensionless,Single/Surface,"0,011121053","0,91759235","0,00001383165454",Normal,"0,01",,,,,,,,,There is no point in archiving these four components because they are straight from a climatology and are likely to be misinterpreted by users
UV visible albedo for diffuse radiation (climatological),aluvd,16,dimensionless,Single/Surface,"0,012219813","0,9175915","0,00001381487618",Normal,"0,01",,,,,,,,,
Near IR albedo for direct radiation (climatological),alnip,17,dimensionless,Single/Surface,"0,059094552","0,66608745","0,000009261976629",Normal,"0,01",,,,,,,,,
Near IR albedo for diffuse radiation (climatological),alnid,18,dimensionless,Single/Surface,"0,059999995","0,6812921","0,000009480165318",Normal,"0,01",,,,,,,,,
Lake cover,cl,26,dimensionless,Single/Surface,0,1,"0,00000005960464478",Other,"0,00001",,,"0,01",,,,Energy,,Margarita Choulga
